AT1	ENSG00000213853.10,ENSG00000135480.17
AT2	ENSG00000131781.13,ENSG00000170890.14
Ciliated	ENSG00000228723.6,ENSG00000224383.8
Club	ENSG00000013306.16,ENSG00000164265.9
DC Langerhans	ENSG00000179344.17,ENSG00000196735.13
Fibroblast	ENSG00000166741.9,ENSG00000129009.13
Goblet	ENSG00000187134.14,ENSG00000117983.17
ILC A	ENSG00000136250.12,ENSG00000117091.10
Lymphatic	ENSG00000160180.17,ENSG00000127920.6
Macrophage	ENSG00000011422.12,ENSG00000275385.2
Macrophage Alveolar	ENSG00000163734.4,ENSG00000160179.19
Myofibroblast	ENSG00000140092.16,ENSG00000158747.15
NK	ENSG00000280194.1,ENSG00000221957.8
SMC	ENSG00000167779.9,ENSG00000004776.13
T Regulatory	ENSG00000240535.8,ENSG00000184811.4
VE Arterial	ENSG00000173269.14,ENSG00000154175.19
VE Capillary A	ENSG00000110841.14,ENSG00000135111.16
VE Capillary B	ENSG00000156298.13,ENSG00000137834.15
VE Venous	ENSG00000137033.12,ENSG00000173269.14
cDC2	ENSG00000242574.9,ENSG00000090104.12
cMonocyte	ENSG00000011422.12,ENSG00000137801.11
ncMonocyte	ENSG00000142347.20,ENSG00000079215.15
